Author Name,Audio Name,Album Name,Genre,Duration,Date Published,Playlist
Debra Alexander,Campaign eye interview,Social age,Country,0:09:51,2023-04-14,Home
Lori Brown,Call,Her,Hip Hop,0:09:45,2016-10-10,Over off
Mark Bradley,Laugh she,Role million,Hip Hop,0:04:05,2017-07-15,Share industry
Mr. John Stevens,Air set,Size music,Rock,0:08:37,2023-11-22,Appear
Barry Moreno,Thing eat,Quite who,Soul,0:05:46,2014-09-13,Paper its
Wesley Hansen,Exist interest writer,Machine guy,Classical,0:08:06,2016-03-26,Then quickly
Jean Nixon,Left benefit college,Success,Jazz,0:07:22,2021-06-05,Political think
Matthew Franklin,Business ask become,Plant,Classical,0:08:12,2014-08-13,Play several
Angela Johnson,Author its,Need arm,R&B,0:03:52,2014-09-15,Involve
Hannah Robinson,Bit way,Claim push,Blues,0:04:21,2018-03-16,Test
Raymond Holloway,Risk reveal plan,And,Jazz,0:06:49,2014-08-31,Note discuss
Kyle Brown,Assume general serious,Piece,Soul,0:06:03,2018-08-02,Pick
Lisa Graham,Past seem away,Hear,Soul,0:08:15,2014-08-31,Amount summer
James Griffin,Family table health,Middle,Soul,0:04:22,2021-09-04,Lot father
Benjamin Cummings,Research soon,Peace along,Hip Hop,0:08:06,2014-09-28,Movement if
Kristin Hopkins,Push inside,Lot,Classical,0:05:57,2017-05-29,Nearly others
Patricia White,Media office,Event which,Hip Hop,0:06:48,2014-12-14,Both
Jermaine Brown,Wait wind so,Morning identify,Country,0:07:48,2021-09-26,Raise
Isaac Mcclain,Visit why,Indeed,Country,0:04:59,2018-01-12,Yourself
Chad Carpenter,State care case,Effort later,Rock,0:02:49,2024-01-10,Simple
Ronald Barnett,Decision price recognize,Almost,Country,0:04:15,2023-03-18,Family source
Lori Cox,Front traditional involve,Than program,Hip Hop,0:06:53,2020-06-14,Sing avoid
Frederick Hendricks,So official,Charge color,Country,0:05:55,2017-09-13,Choice his
Timothy Richardson,Eight easy run reason,Spring foreign,Country,0:06:43,2019-07-21,Power
Tina Walker,Bank doctor,Sense,Country,0:07:42,2019-08-31,Politics go
Matthew Ramirez,Debate group act,Behind,Rock,0:04:23,2022-08-29,Executive stand
Christopher Moore,Bed word rule,Different father,Electronic,0:06:00,2014-06-30,Certainly
Michael Rosales,Arrive news color,Sell,Country,0:03:49,2016-03-02,Forget ten
Crystal Gordon,Wife voice pay,Allow authority,Country,0:05:32,2018-02-20,Lead go
Linda Holmes,By sense,That,Pop,0:07:19,2019-04-06,Back quickly
James Martinez,Always career might,Condition cultural,Pop,0:08:07,2016-04-22,Forget
Rebecca Scott,Church wish cost company,Meet,Blues,0:03:40,2015-02-13,Send
Allison Dixon,Lot clear forward,Which local,Hip Hop,0:05:12,2023-10-01,None discuss
Daniel Hardin,News though,Kitchen color,Jazz,0:03:55,2019-01-12,Station
Jessica Edwards,Collection shake not,Action,R&B,0:04:36,2016-06-06,Someone
Billy Brown,Week how director,Political media,Electronic,0:04:15,2017-02-21,Manager
Crystal Reed,Would recently or,Size,Country,0:07:16,2023-11-07,Table
Cynthia Reed,Phone example,Drop election,Soul,0:07:46,2023-03-21,Campaign program
Mariah Johnson,Guess safe,Treat kitchen,Hip Hop,0:09:45,2021-06-15,Him nature
Cynthia Cross,Any understand fish,Admit might,Classical,0:02:40,2016-05-14,Right
Stephanie Thornton,No sell,American,Blues,0:07:07,2015-12-24,From
William Logan,Should,Way thus,Hip Hop,0:05:12,2017-06-06,Race clear
Tiffany Hughes,Figure offer enough western,Business,Pop,0:09:12,2016-05-17,Avoid level
Sarah Garcia,Democratic,Nothing state,Classical,0:04:06,2015-06-21,South
Ryan Garrett,Hit sing science,Yourself dark,Electronic,0:06:33,2018-05-29,Actually
Juan Porter,Trial poor during fine,Bad suffer,Country,0:03:16,2024-03-06,Include will
Amanda Burgess,Voice material fear,Type radio,Country,0:06:56,2017-05-25,Option
Derek Mcmahon,Loss military,Sport doctor,Soul,0:02:28,2015-01-02,Operation light
Lisa Alvarez,Road,Speak,Rock,0:06:55,2023-09-05,She
Brian Beasley,Time top center,News,R&B,0:04:10,2023-08-27,Purpose
Angela Jimenez,Strategy soon throughout,Three together,Jazz,0:05:19,2016-07-17,Billion west
Wayne Davis,Design skin daughter,Only,Electronic,0:03:58,2016-09-12,Bank
Sarah King,Great same,Major hope,Classical,0:09:52,2014-04-27,Difference
Carol White,Official join better,Great,Classical,0:03:31,2018-04-30,Truth
Brandon Lopez,State public run,Improve,Electronic,0:09:25,2023-05-02,Little
Timothy Moreno,Themselves sometimes white,Catch stage,R&B,0:09:29,2022-12-13,Identify
Robert Diaz,Community rest television,Learn,Electronic,0:09:42,2023-04-22,Ahead
Michelle Snyder,Past reason sea,Vote five,Classical,0:06:38,2022-03-19,Best
Eric Larsen,Dark Congress president,Cell per,R&B,0:03:41,2020-10-31,Relationship
Kimberly Stanley,Pretty protect kid,Under,Classical,0:02:31,2023-08-10,Few state
Steven Johnston,Doctor watch color,Bill prevent,Country,0:07:51,2022-03-29,Opportunity
Margaret Morris,Sure room site,Maybe,Jazz,0:08:02,2021-05-18,Out food
Roberto Smith,Some member what,American,Pop,0:09:58,2020-07-24,Different result
Dustin Hansen,Specific everyone wrong power,Pull night,R&B,0:05:38,2022-06-19,Structure better
Timothy Humphrey,Play fast,This,Hip Hop,0:02:51,2020-12-22,Total hour
Christian Ortiz,High realize reality,Character,Soul,0:09:31,2016-03-29,Where someone
Daniel Smith,List better,Even oil,Rock,0:04:37,2022-02-26,Final station
Devin Lopez,Animal drive house,Better,Hip Hop,0:06:59,2024-02-12,Our leave
Wesley Jones,Dark often network,Economic,Classical,0:02:07,2016-12-09,Whole
Adrian Miles,Many enough most,Wind various,Soul,0:03:35,2017-01-10,State
David Stanley,Would herself card turn,Business,Blues,0:02:15,2014-11-12,Politics
Nicole Mcbride DVM,Ever again,Class,Blues,0:06:19,2018-05-23,Human
Briana Sanchez,If event,Action,R&B,0:03:42,2019-09-22,Writer certain
Caleb Marsh,Now nor north,Month our,Rock,0:05:00,2019-03-20,Level ago
Kristen Shields,Area order anything,Against ever,Jazz,0:04:20,2016-01-02,Be particularly
Bryce Williams,Else speech,Impact executive,Jazz,0:06:02,2021-02-11,Three foreign
Caitlyn Leonard,Among short,Show,Electronic,0:06:39,2018-06-21,Drive
Virginia Evans,Represent sure,Agreement money,Soul,0:08:02,2018-08-11,Training
Janice Jordan,Leader rock whether,President,R&B,0:03:48,2019-07-03,Business short
John Spencer,Design event range,When,R&B,0:06:15,2017-12-25,Us
Jennifer Clark,Case toward,Leader,Country,0:06:42,2017-12-24,Whatever enter
Rachel Davis,Hour hard eat already,Consumer,R&B,0:06:40,2016-04-03,Military
Richard Cannon,Example protect international,Point newspaper,Rock,0:05:50,2019-01-19,Put even
Michael Hodges,Surface threat bank,Series,Hip Hop,0:07:14,2017-03-09,Star animal
Michael Boyer,Thus hour,Choose fast,Classical,0:04:51,2017-04-28,Kind
Billy Bolton,Push actually,Push language,Country,0:09:31,2016-06-30,Senior morning
Anita Gonzalez,Conference two second,Though pick,R&B,0:07:13,2016-03-07,Cause treat
Steven Thomas,The successful,Green,Pop,0:08:03,2022-09-25,Hard something
Angela Walker,Note ground leave,Town,Jazz,0:09:39,2015-03-22,Law
Benjamin Rodriguez,Shake any four news,Throw,Jazz,0:02:03,2023-05-13,Attorney matter
Antonio Holmes,Onto effort,Whatever condition,Electronic,0:07:43,2021-08-15,Traditional
Scott Williamson,Social professional maybe,Yard computer,Jazz,0:02:20,2020-06-25,Top material
Jody Brown,Pretty agent people,Later team,Blues,0:07:14,2016-12-19,Listen form
Kevin Romero,Degree up modern pretty,Special generation,Hip Hop,0:04:59,2018-07-27,Knowledge animal
Terri Wallace,Car worry great,Man investment,Electronic,0:02:04,2020-06-12,Senior positive
David Roy,Product into tell,Think,Rock,0:04:25,2022-04-15,However
Aaron Kelley,Check note tonight,Cold candidate,Soul,0:03:06,2023-07-31,Study white
Cassie Brennan,Bad week American,Care,Hip Hop,0:05:12,2020-07-21,Build
David Walker,Hit task ago,Up might,Hip Hop,0:06:13,2021-09-16,Base four
Jenna Walsh,But language student,Test which,Country,0:09:01,2023-08-29,Want certainly
Monica Luna,Quickly miss detail,Arrive,Soul,0:09:31,2015-08-20,Check
Mason Adams,Dinner market,Particular deep,Electronic,0:03:28,2015-01-24,Add involve
Debra Douglas,Wish,Sign,Soul,0:04:05,2020-08-26,Yourself difficult
Veronica Bailey,Mrs actually,Yes,Jazz,0:02:08,2023-04-25,Career
Laura Davidson,Seem his,Ball,Soul,0:05:30,2022-08-30,In suffer
Kevin Hartman,Range good,Change five,Classical,0:08:30,2023-04-09,Wide party
Thomas Nelson,Good consumer simply,Mother,Electronic,0:06:33,2022-01-08,Live every
Deanna Hill,Different option business physical,Yet,Rock,0:07:02,2014-12-17,Mean
Amanda Hardy,Too toward but here,Until,R&B,0:07:06,2019-03-03,Address reach
Dakota Taylor,Sell deal trial,Part,Classical,0:09:02,2023-11-30,Participant
Jonathan Meyer,Animal husband,Future,Electronic,0:05:16,2024-03-05,Cover environmental
Kristine Moyer,Those star structure,Style up,R&B,0:05:51,2019-02-02,Health
David Lewis,Common mother,Instead,Country,0:08:16,2024-03-05,Speech team
Scott Franco,Offer over analysis,Threat hotel,Electronic,0:02:13,2019-01-21,Certainly market
Marvin Hart,Certain clearly,Dinner true,Electronic,0:09:29,2023-04-02,Stock cold
John Allen,Cost perform region,Benefit,Pop,0:09:13,2023-05-29,National defense
Terry Brown,Recently teach seek,If heart,Rock,0:09:43,2023-06-10,Old
Randy Wallace,Check chance,Story before,Blues,0:07:29,2015-06-13,Above
Brian Medina,Somebody,Law,Pop,0:07:08,2015-12-31,Age
Kimberly Sanders,Onto information,Child keep,Electronic,0:08:26,2023-03-21,Executive might
Justin Howell,Traditional myself,Much,Classical,0:04:57,2014-06-27,Billion approach
Anita Munoz,Ago outside discover study,Keep,Rock,0:05:57,2023-06-30,Believe
Andrew Torres,Middle hotel,Receive evening,Classical,0:07:33,2017-02-28,Decade
Tony Barr,Environmental book,Change pretty,R&B,0:06:03,2017-04-16,Democrat
John Martinez,Have,Weight dog,Hip Hop,0:02:46,2014-05-17,Company couple
Cory Jones,Here,Provide,Classical,0:04:55,2017-03-01,Avoid
Luis Hansen,Although fund,Baby,Jazz,0:06:33,2022-12-06,Under
Alex Atkinson,Discover test occur,Business,Classical,0:02:16,2017-01-20,Account cut
Benjamin Griffin,Trouble as manager,Draw law,Jazz,0:04:46,2020-10-20,Study suddenly
Marc Stewart,Forget article rest,Prevent their,Classical,0:03:58,2022-08-22,Card
Marvin Brown,Door,Degree,Classical,0:06:07,2020-08-14,Force
Maria Beard,Rather reason seat student,Determine,R&B,0:05:31,2016-05-26,Sport
Dana Moss,Into rock bar,Onto nature,Pop,0:05:27,2020-11-03,Other
Brian Clayton,Within task friend,Price people,R&B,0:07:49,2015-05-31,Radio tonight
Douglas Stuart,Call pretty,Age tax,Electronic,0:06:22,2015-08-20,By
Richard Wood,Plan single protect white,Good less,Jazz,0:09:35,2014-05-18,Travel much
David Davenport,Often people,Center,Hip Hop,0:03:27,2014-09-11,Really
Kelly Soto,Firm spring,Week role,Classical,0:08:59,2023-08-30,Address
Daniel Perry,There not,National,Country,0:04:13,2017-12-12,Tree
Heather Schwartz,Onto ability,Position bag,Jazz,0:03:50,2018-12-20,Hit
Jerry Howard,Determine finish relationship,Approach,Country,0:04:28,2015-08-19,At off
Stacie Owen,Stock power fire relate,Sit rise,R&B,0:05:33,2024-02-27,When red
Amy Ferrell,Simple make,Story within,Soul,0:05:54,2015-08-26,Offer scientist
Paul Perez,Behind safe than,Social,Classical,0:04:22,2018-02-17,Start
Spencer Thomas,Security blood new,Her,Hip Hop,0:07:10,2015-01-21,Store American
Jose Watson,Help hard hear,With,Rock,0:05:40,2017-08-23,Whether
Amy Simmons,Red community heart,Power order,Hip Hop,0:02:59,2014-08-15,Page trip
Brittany Christian,Unit couple,Property in,R&B,0:04:39,2015-04-11,Son
Louis Castro,Increase property,Actually,Rock,0:07:56,2016-04-29,Big shake
Christopher Cooke,Anyone itself guess,Leader,Classical,0:02:11,2020-01-17,Science
Jessica Mcguire,Green rise energy,Ground develop,Soul,0:07:11,2020-05-24,Forget
Tammie Mccoy,Three rate,Accept,Rock,0:04:01,2016-08-04,Career strategy
Randy Crawford,Herself sign,Fine which,Country,0:05:55,2022-02-22,Responsibility
Taylor Day,On protect brother attention,Within,Jazz,0:05:50,2015-05-12,Station
David Hoffman,Claim heart,Father campaign,Blues,0:02:50,2016-07-29,Moment
David Gonzalez,Member who kitchen,Rest hundred,Jazz,0:05:32,2022-03-26,Year particularly
Travis Smith,Consumer agency condition great,Analysis blood,Blues,0:05:29,2014-09-05,Stage statement
Calvin Peters,Today carry,Inside,Pop,0:04:46,2016-04-25,Anyone
Robert Garza,Turn very executive,Election,Classical,0:05:00,2015-02-01,Number
Colin Morris,Soldier one budget,Federal,Soul,0:03:42,2022-08-02,Stock
Andrew Garner,Employee able race,Course,Country,0:08:00,2014-07-20,Policy our
Karen Moreno,Better,I address,Blues,0:07:14,2021-09-23,Home message
John Poole,Majority figure respond use,Cost necessary,Electronic,0:08:28,2016-04-13,Great religious
Matthew Rivera,Cup through themselves,Purpose upon,Country,0:09:33,2018-08-06,Economic
Gabrielle Smith,Sign this,Performance,Jazz,0:03:33,2021-07-01,Interesting perhaps
Bryan Cole,Modern property,After some,Electronic,0:05:10,2014-05-29,Various
Blake Garrison,Skill against many accept,Girl deep,Country,0:03:14,2017-10-30,News
Michael Murray,None consumer score,Movement street,Rock,0:03:11,2018-10-16,Home itself
Danielle Perry,Couple movie mission,Probably,Soul,0:04:31,2020-03-11,Foot practice
Mr. John Mason DVM,International western,Rock,Classical,0:07:43,2023-07-01,Performance listen
George Williams,Car effort,Gas base,Classical,0:02:41,2018-12-05,Remain
Michael Jones,Method must,Clearly traditional,Blues,0:08:18,2016-05-29,Hundred support
Mr. Tyler Tucker,Response near store,Account,Soul,0:02:38,2021-07-05,Chance
Sean Smith,Small,Wrong appear,Pop,0:04:59,2021-05-12,I customer
Chris Nichols,Improve four north decide,Serve resource,Electronic,0:02:52,2020-01-19,Eight
Ashley Richardson,Professional smile leader,Common,Rock,0:02:11,2020-06-17,Not
Nancy Monroe,Personal story,Last,Classical,0:05:08,2022-04-06,Recognize
Tyler Wilson,Prove,Number most,Country,0:05:54,2021-07-06,Surface
Renee Reed,May business,Already,Pop,0:06:42,2018-04-09,Use
William Davis,Family strong hit quickly,Your growth,R&B,0:08:14,2021-12-21,Maybe
Alan Compton,Term paper wait,Hotel short,Pop,0:07:04,2014-05-31,Wide author
Timothy White,Church various,Number rich,Pop,0:09:16,2021-05-11,Act dinner
Amy Smith,Development hard,Determine affect,Electronic,0:06:38,2021-03-26,Network
Christine Larson,Enjoy left into,End enter,Pop,0:05:18,2017-08-22,Floor may
Steven Jackson,Enough agent cell,Box career,Pop,0:02:54,2016-05-05,Seem effort
Marcus Hanson,Tax skill,Well natural,Jazz,0:06:31,2017-01-06,Animal learn
Danielle Cisneros,Through sell state,Front person,Electronic,0:07:49,2020-12-01,Eight purpose
Jose Moreno,Try authority,Hot,Blues,0:05:30,2020-08-06,Mind case
Melissa Patterson,Forward employee protect,Than bill,Electronic,0:07:52,2020-05-20,If break
Katherine Schneider,Speech guess,Far as,Electronic,0:05:38,2014-06-27,Talk attack
John Sparks,This eight,Animal,Country,0:03:10,2015-07-04,Everybody speech
Bianca Maynard,Plan west,Rate defense,Electronic,0:03:39,2020-09-08,Decide how
Zachary Brown,Board step,Seat degree,Soul,0:08:55,2024-02-10,Blood
George Barnes,Source,Though reflect,Rock,0:08:37,2014-08-21,Financial
Michael Roberts,Here though apply,Scene field,Pop,0:09:34,2019-01-06,May style
Sydney Hawkins,For decide table,Understand,Pop,0:08:22,2015-09-09,Design generation
Mr. Jordan Mercer,Talk during executive anyone,Why analysis,Classical,0:05:27,2016-02-12,Too trip
Ms. Meghan Green MD,Product science,Artist,Soul,0:05:53,2022-04-01,Play
Karen Walker,Though sign,Company,Classical,0:08:32,2019-11-11,Act reflect
Joanne Underwood,Event east item camera,Hope,Pop,0:04:13,2022-02-25,Wish quickly
Benjamin Peterson,Past much red,Conference difference,Hip Hop,0:02:36,2019-09-22,Throw
Victoria Miller,Require several policy impact,Term ahead,Hip Hop,0:02:43,2018-10-13,Until
Tiffany Lopez,Space become,Evidence,Blues,0:05:53,2019-05-12,Performance
Kayla Carroll,Summer system,Remain total,Hip Hop,0:07:54,2014-04-18,Suddenly issue
Jennifer Owens,Your investment,Two,R&B,0:09:13,2017-01-17,Husband window
Shawna Gibson,Mention,Become,Blues,0:04:09,2019-08-24,Current
Kimberly Reilly,Actually yes,Investment nation,Jazz,0:04:08,2018-06-01,Rich police
Michael Vasquez,Weight or,Here suffer,Rock,0:05:44,2014-08-15,Much could
Grace Blevins,Interest degree benefit,Community,Blues,0:04:15,2020-06-21,Well its
Michael Sellers,Film choose,Party,Soul,0:05:11,2021-02-07,City reach
Debra Figueroa,Number quality least,Me,Soul,0:04:51,2018-07-20,Nation foreign
John Harper,Expect mind,However,R&B,0:02:25,2016-04-04,Ahead
Kevin Todd,Process tough trip,Factor charge,Electronic,0:06:05,2017-04-13,Hundred consumer
Mark Lynn,Inside result decision,Short upon,Classical,0:09:05,2014-09-24,Field indicate
Jill Ferrell,Measure job drive,Power,Blues,0:09:20,2021-12-20,Age particular
Kevin Rivas,Themselves often word,Easy brother,Soul,0:04:41,2015-09-19,Decade
Elizabeth Hamilton,Mean wall about,Visit,Pop,0:08:43,2015-02-18,Book reduce
Jocelyn Hernandez,Box money,Realize weight,Classical,0:04:20,2015-08-06,Role
Roger Gonzalez,It low room inside,Since option,Rock,0:08:10,2023-10-08,Term that
Andrew Schaefer,Movement grow,Thought,Soul,0:09:11,2018-07-22,Real
Susan Cook,Learn understand,Ago middle,Hip Hop,0:04:52,2016-12-16,Hour build
Dustin Garcia MD,Hard institution,Technology,Hip Hop,0:08:56,2015-06-17,Move
Christopher Gonzalez,Turn forget reduce,Material,Pop,0:03:51,2019-07-28,Want
Kyle Harper,Inside,Home they,Rock,0:03:38,2023-08-17,Green
Alicia Trujillo,Benefit money,White learn,Hip Hop,0:04:02,2015-03-21,Country
Joy Wall,Difficult lawyer tonight,Meet,Hip Hop,0:07:25,2020-08-27,Full large
Victoria Morales,Seek type car discussion,Television audience,R&B,0:08:37,2015-04-09,Service personal
Austin Johnson MD,Call,Let beautiful,Soul,0:05:09,2022-11-04,Create
Dustin Morgan,Realize sing trip,Together way,Classical,0:08:34,2023-07-17,Position soldier
Heather Richardson,Husband dog,Clear,Country,0:09:57,2017-07-24,Pull note
Audrey Smith,Morning defense,Mission need,Blues,0:03:34,2022-08-23,Point floor
Christopher Thompson,Up thought what record,Base order,Soul,0:02:03,2015-10-20,Science history
Duane Holland,Matter toward operation,Relationship box,Jazz,0:09:07,2022-01-28,Choice group
Matthew Harrison,Drive,Good,Blues,0:04:34,2024-02-17,Laugh off
Ernest Gonzalez,Worker evening pick reason,Kitchen,Jazz,0:02:11,2019-10-21,Reality
Brittany Chase,Friend husband,Far check,Classical,0:08:51,2020-04-05,Bit
Greg Gomez,Him hair significant treatment,Attorney,Classical,0:02:18,2020-07-04,Worry
Keith Long,Professor hope past,Some,Soul,0:03:47,2020-04-05,Agreement support
Matthew Gonzalez,Special center,Record analysis,Blues,0:02:40,2014-05-12,Will
Andrea Anderson,Policy herself staff,Number,Jazz,0:04:47,2016-02-26,Act
Robert Miller,Expect,Degree,Rock,0:06:31,2023-02-05,Successful
Ernest Gaines,Natural owner true when,Dinner,Country,0:09:14,2017-07-29,True
Zachary Holmes,Car interest move,Prepare,Pop,0:06:13,2021-03-08,Age day
Kristina Sanders,Relationship fear,Business add,Soul,0:05:24,2022-10-25,Home
Rebekah Vargas,Much practice animal,Focus focus,Hip Hop,0:06:17,2014-10-04,Table pass
Shawn Newton,Few unit,Less,Pop,0:02:17,2022-05-09,Effort
Erica Padilla,Set reduce pretty,Less,Rock,0:02:08,2023-08-10,Clear item
