Author Name,Audio Name,Album Name,Genre,Duration,Date Published,Playlist
Paul White,Interview home everyone,Memory,Hip Hop,0:08:11,2017-11-15,Close law
Joel Luna,Heavy evidence,Mind mind,Jazz,0:06:09,2018-04-27,In
Caitlin Phillips,Represent reveal even,Feel,Rock,0:02:49,2016-04-24,With
Andrew Morales,South doctor eat,Worry,Jazz,0:07:08,2020-05-26,Street degree
Philip Little,Up common star,Song since,Pop,0:03:17,2017-03-05,Point
Jennifer Gomez,Answer exactly,Turn concern,Classical,0:06:59,2019-06-11,After
Jessica Lopez,Mouth machine,Moment,Soul,0:09:21,2017-01-23,Building knowledge
Rachel Lozano,Blood,Book drive,R&B,0:05:01,2016-10-26,For support
Jennifer Espinoza,Outside artist in,Way economy,Electronic,0:08:17,2021-10-03,Bag issue
Jeffrey Freeman,Art general,South military,Jazz,0:07:33,2019-07-30,Maybe
Alicia Villanueva,Three camera food,Throughout,Electronic,0:06:16,2024-01-06,Defense realize
Harold Dixon,Share thank,Food,Pop,0:02:18,2022-11-29,Card house
Corey Jimenez,Individual himself power,It face,R&B,0:08:14,2016-02-19,Simply road
Mary Morales,Do contain,Art,Classical,0:07:32,2017-10-30,Rich education
Jane Smith,Behind entire,Staff wait,Electronic,0:07:13,2017-02-17,Fire city
Shawn Nelson,Myself leg,Drug majority,Classical,0:05:35,2014-07-21,Out sense
Cynthia Copeland,Easy yes leg,Never,Hip Hop,0:09:52,2022-12-12,Player
Alexis Hill,Admit painting fund,Simple yourself,Jazz,0:09:49,2024-03-21,Since movement
Jesse Harrison,Rich fear least,Growth worry,Hip Hop,0:06:13,2014-04-12,Financial course
Tanner Alvarado,Care company recently,Main improve,Rock,0:02:03,2016-02-15,Mouth
Tamara Martinez,I since assume,Important thing,R&B,0:06:36,2019-05-07,Enough
Sandra Li,Determine good,Weight,Blues,0:03:15,2023-05-17,Full
Michael Parker,Yeah,Information,R&B,0:06:50,2015-06-05,Account
Elizabeth Wells,Approach state,Need foreign,Classical,0:08:56,2022-12-01,Product care
Adriana Lucas,Contain add red,Sea,Pop,0:05:22,2014-11-20,Available above
William Murray,Structure kind stand,Church,Classical,0:06:00,2016-12-09,Discussion
Dawn Campbell,Next,Poor sense,Pop,0:03:46,2017-07-15,Growth
Deborah Mitchell,Only,Child east,Jazz,0:09:48,2017-12-14,Scene old
Austin Torres,And,Fast mother,Rock,0:03:23,2020-08-12,Discover
David Hamilton,It foot,Think,Jazz,0:05:30,2019-01-03,Bed
Nancy Green,Mouth production,Under,Soul,0:04:01,2014-04-15,Near
Joel Love,Tough,Anything,Soul,0:06:18,2018-10-01,Where
Lisa Rodriguez,Risk network become,Something to,Blues,0:04:59,2023-05-19,Really
Nancy Gillespie,Magazine start rock,Away method,Hip Hop,0:06:19,2015-03-13,Seat wish
Heather Chase,Account type media,Music,Pop,0:08:06,2022-04-28,Air
Jordan Schmidt,Away five,Treat tree,R&B,0:03:06,2022-07-13,Matter process
Joyce Douglas,Someone evening,Industry ground,Rock,0:09:09,2016-11-13,Sound happy
Nathan Perez,Of want,Game,Rock,0:08:34,2023-06-18,Majority
Claudia Long,Happy have,Congress,Blues,0:05:06,2015-04-19,New
Joshua Martinez,Relationship deal,Interest school,Electronic,0:02:23,2014-10-11,Involve
Danielle Montoya,Control child son,Economy,R&B,0:04:40,2017-04-24,Time pass
Michael Tran,Mouth,Add education,Soul,0:04:30,2017-03-30,Many young
Jessica Morrow,Expect point,According improve,Blues,0:04:50,2015-08-13,Money including
Gabrielle Bentley,Information home above,Hit,Hip Hop,0:08:28,2014-12-14,Order player
Amanda Smith,What ground add,Item,Electronic,0:05:00,2024-01-01,None
Robert Rodriguez,Movie drop,Collection add,Classical,0:07:26,2020-09-26,Reflect
Joseph Armstrong,Decade use dark,Skill,Country,0:02:25,2020-03-26,Television receive
Patricia Lee,Central system this people,Such plan,Rock,0:07:03,2015-01-28,Walk economic
Brenda Carson,Against image little,West skill,Blues,0:05:34,2020-03-31,Fear
Heather Moore,Boy,Who,Rock,0:05:44,2018-06-30,Themselves avoid
Cassandra Parrish,As notice,Pressure bit,Rock,0:08:24,2020-05-28,Walk
Sara Bell,Factor cup TV,Close traditional,Blues,0:06:01,2022-07-19,Hotel doctor
Brittany Williams,Better short,Believe,Classical,0:06:29,2017-11-10,Imagine
Erik Ward,All culture upon,Defense,Pop,0:04:00,2018-08-23,Still
Lauren Holder,Force summer be,Value,Electronic,0:04:07,2019-08-19,Have smile
Terry Carpenter,Foot notice,Have develop,Hip Hop,0:08:18,2015-07-08,Until
Randall Farmer,Right all as development,Far some,Soul,0:05:03,2015-08-16,General
Jason Robertson,Within quite idea dog,Late,R&B,0:08:11,2016-10-26,Authority apply
Michael Burton,Order future,Way,Soul,0:05:55,2019-08-03,Card
Alexander Vasquez,Center reflect prepare,Either those,Classical,0:06:30,2020-08-11,Include
Larry Jackson,Safe,Indeed,Rock,0:09:43,2019-12-20,Turn social
Erica Mendez,Care card,Current practice,Classical,0:06:16,2019-08-14,That none
Alan Ellison,Shake argue,Face although,Blues,0:05:52,2018-06-17,I
Nathan Shannon,System knowledge,White ok,Country,0:03:58,2019-10-12,Especially
Stephanie Wilson,Generation identify sport,Effort director,Electronic,0:07:09,2023-10-15,Statement who
Andrea Bush,Again interview,Couple,Hip Hop,0:05:47,2014-08-06,Ready difference
Wanda Warner,Area my hot by,Whether order,Classical,0:06:49,2018-09-18,Gas
Jamie Garza,Lawyer law person,Feel,Jazz,0:07:41,2014-11-27,Describe rich
Zachary Green,Pass kind,Book,Soul,0:03:14,2021-03-07,Tend
Amanda Sandoval,Country book traditional,Never,Rock,0:07:09,2023-01-14,Care summer
Laura Moore,Two guy,Commercial unit,Electronic,0:09:55,2017-11-22,Wish gun
Lindsey Freeman,Animal seat recent,Bar marriage,Country,0:03:59,2019-09-09,True
Jonathon Macdonald,Your entire,Budget,Electronic,0:08:38,2014-04-08,Before
Steven Mcintosh,Stage against,Provide,Country,0:08:18,2022-10-01,Report
Joseph English,Standard direction newspaper model,Consumer,Rock,0:04:13,2024-01-05,Far food
Tony Palmer,Explain allow,Win,Rock,0:08:00,2017-08-04,Alone
Rachel Davis,East article commercial,Field,R&B,0:04:02,2023-03-13,Tax
Christopher Carter,Could show,Long someone,Electronic,0:06:52,2018-11-04,Data
Melanie Brennan,Tv forward lose reflect,Painting,Country,0:08:32,2020-01-26,Watch
Nicholas Glenn,Recently explain,Its,Hip Hop,0:02:01,2019-09-23,Blood change
Jessica Lee,Such support charge,International,Hip Hop,0:03:55,2022-09-04,Night staff
William Nixon,Author sound identify,Story whom,Classical,0:07:27,2022-09-06,Figure window
Gail Howell,Know her fall,Whatever until,Classical,0:09:23,2015-06-09,Effort rest
Mrs. Tracy Gillespie,Similar way,Walk,Classical,0:05:39,2019-09-18,Audience thing
Charles Fowler,Happen,Lay,Classical,0:07:55,2018-07-22,Character dinner
Brent Davidson,Population remain concern air,Today herself,Rock,0:05:44,2015-06-03,Door
Nicholas White,Long population sport,Should,Jazz,0:09:23,2021-12-04,Message process
Thomas Carter,Family street,Another else,Jazz,0:08:58,2021-05-13,Behavior
Danielle Olson,Single special try,Major,Classical,0:06:03,2024-01-28,Hear before
Scott Beck,Long civil clearly,Upon,Hip Hop,0:02:08,2021-11-21,President
Patrick Patterson,Leader use wish,Choice detail,Pop,0:08:45,2022-06-26,Attention
Mark Kemp,Reality last,Road music,Jazz,0:04:28,2019-11-17,Today
Kyle Sanchez,Less on important,Mrs,R&B,0:04:59,2022-06-23,White
Donna Fleming,Then news fly,Your find,Rock,0:06:16,2014-04-13,People
Joseph Nguyen,Once because must worker,Cost,R&B,0:04:53,2014-04-19,Camera relationship
Erica Morris,Vote,High,Classical,0:04:49,2022-10-21,Five front
Samantha Williams,Leader standard,Only project,Pop,0:09:52,2021-07-12,Pick
Rebecca Williams,Apply,Cause,Hip Hop,0:06:00,2016-11-26,Simple run
Gwendolyn Gomez,Institution poor close,Senior film,Electronic,0:04:57,2014-04-21,Year American
Chelsea Lam,South meeting consumer,Late great,Rock,0:05:38,2022-12-11,Open hold
Terry Chung,Boy total standard,Throughout career,Electronic,0:08:22,2023-10-12,Bed
Vincent Glover,Country thought lay break,Mother thank,Pop,0:10:00,2021-06-16,Rich usually
Michael Hart,List four,Real ask,Country,0:03:46,2019-09-21,Including
Jonathan Bowers,Heavy various whatever,These star,Blues,0:04:02,2016-02-04,Foreign rather
Lauren Scott,Make,Per bring,Rock,0:04:49,2015-03-16,Without
Patricia Lewis,School,Than,Blues,0:03:37,2019-03-23,Base
Ethan West,Over son chance,Glass investment,Blues,0:09:49,2021-07-06,Some
Amy Collins,Chance kid condition,Choose rather,Soul,0:09:48,2021-12-18,Whatever
Kathryn George,Range arm,Fund character,Soul,0:09:34,2019-04-28,Home
Robert Russell,Baby understand apply,Personal listen,Hip Hop,0:02:26,2015-11-08,Provide financial
Gregory Torres,Onto wife,Perform,Country,0:05:37,2022-12-27,Produce enter
Melissa Conley,And which camera,Dark,Classical,0:08:10,2019-10-10,Air
Jennifer Rich,Control lead,Foreign,Classical,0:06:44,2014-11-04,Growth American
Anthony Parker,Teacher finish garden,Adult safe,Electronic,0:06:40,2020-01-06,Particularly
Michael Evans,Control call dark,Reality oil,Country,0:05:51,2016-12-11,Run
William Jackson,Stand process,Look,Blues,0:05:27,2019-06-06,Include little
Sara Washington,First carry them,Argue on,Country,0:09:39,2016-03-03,Computer factor
Stephanie Campbell,Since nor,Since suddenly,Pop,0:02:50,2014-07-28,Trade
John Scott,Book budget improve,Project interesting,Jazz,0:09:41,2023-09-02,Big
Julia Nichols,Add yet,Entire,Blues,0:06:09,2019-07-03,Others candidate
Hannah Jennings,Goal even particular,Few lay,Rock,0:08:38,2020-12-03,Win
Timothy Cain,Role pay individual,Business,Soul,0:07:23,2014-04-12,Garden
Diana Flores,Try deal might,Suggest level,Electronic,0:02:16,2014-04-26,Within
Kristen Jackson,Visit together attack ten,Too,Hip Hop,0:06:05,2019-03-03,Simply into
Tracy Cook,Wonder care,President,Soul,0:09:52,2022-04-03,Yes
Logan Tran,Country my,Get red,Blues,0:04:38,2018-11-04,Safe half
Craig Black,Federal as management,Draw,Jazz,0:04:40,2017-02-10,Kitchen
Michele Vasquez,Choose exactly maybe,Prevent industry,Jazz,0:04:09,2020-05-26,Adult
Amy Harrison,Risk term wife,Campaign,Hip Hop,0:08:58,2019-06-13,Of simple
Paul Myers,Structure build care home,Nothing,Jazz,0:05:11,2016-01-30,Truth
Mrs. Cheryl Brown DDS,Sit music west,Vote,R&B,0:02:25,2022-01-05,Believe night
Christopher Bowen,The key manager,Either,R&B,0:07:20,2022-11-14,Speech thank
Amy Love,Listen food,Push,Soul,0:06:47,2023-10-29,Understand
Samantha Stephenson,Long old,Teach simple,Jazz,0:05:31,2017-05-09,Always
Stephanie Ramsey,Article know western,Until suffer,Pop,0:06:23,2015-10-23,Seem
Samuel Whitehead,Benefit operation,Will blue,Hip Hop,0:09:37,2021-07-20,Many management
Sabrina Gonzalez,True test interest,Town while,Hip Hop,0:06:37,2016-11-07,Blood collection
Brian Morgan,Color fast financial,Care,Electronic,0:08:08,2019-03-17,Much
Ronald Smith,Rich poor,Expect,Rock,0:08:46,2015-06-13,Edge represent
Christina Guzman,Conference could,More,Country,0:05:06,2020-01-25,Hold
Jordan Reed,Modern weight sea,Establish,Blues,0:06:59,2021-08-06,Age deal
Christopher Fields,Traditional it,Interview campaign,Classical,0:08:06,2018-10-29,When but
Laura Alvarez,Why too trade,Play,Hip Hop,0:09:15,2022-06-29,Read
Alexander Russell,Four,Blue,Soul,0:06:09,2023-05-04,Fight easy
Paul Parsons,Exactly budget energy dinner,Do development,Soul,0:08:51,2020-06-09,Strategy
Wesley Hays,Wonder cost stand mean,Career police,Hip Hop,0:07:00,2020-01-21,Herself sit
Amanda Brennan,Seven near,Allow model,R&B,0:08:57,2022-12-05,You hope
Devin King,Official popular person,Really produce,Rock,0:07:06,2016-08-08,Day catch
Diane Bryant,Special modern,Draw become,Soul,0:06:57,2018-11-11,Old describe
George Washington,Trial picture style,Thought recent,Country,0:03:56,2018-06-21,Local improve
Vanessa Bryant,Member system once,House major,Rock,0:02:51,2023-04-29,Myself
Ashley Smith,Subject perhaps,Practice,Classical,0:07:31,2022-08-29,Store direction
Rebecca Mcmillan,Party event science,Big,Jazz,0:07:18,2017-10-31,Ok beautiful
Briana Miller,Name interesting ago,Program reflect,Electronic,0:09:51,2021-08-08,Pattern woman
Michael Lewis,Red staff tonight,Worry near,Country,0:02:09,2020-05-30,Local past
Timothy Morgan,Reality,Hour quickly,Hip Hop,0:02:26,2016-04-30,Central bed
Kevin Alvarez,Adult general thing,Down defense,Jazz,0:05:35,2017-08-29,Term
Stephanie Bates,Figure front look,Herself follow,Pop,0:05:57,2015-07-23,Expert
Jennifer Dawson,Somebody around understand,Enjoy,Pop,0:08:34,2019-06-26,General scientist
Jill Patterson,Candidate,Could,Jazz,0:06:19,2014-10-08,Increase major
Fred Perry,Employee rich,Technology,Blues,0:03:46,2021-08-04,Crime total
Mr. David Vargas MD,Education sport,Always perhaps,Country,0:08:22,2016-04-04,Policy
Michael Ward,Myself especially,Law,Hip Hop,0:03:54,2019-05-25,Wide have
Margaret Snyder,Plan interest those,Send partner,Soul,0:05:25,2020-03-07,Idea
Charles Davis,Democratic two,Either follow,R&B,0:02:45,2018-11-24,Party
Savannah Wells,Sound story control,Daughter,Classical,0:09:34,2022-10-14,Item
Gina David,Serve season though view,Old,Hip Hop,0:04:24,2014-06-24,Message despite
Terri Summers,Just somebody,Son case,Jazz,0:02:53,2021-04-18,Public
Patrick Davis,Meeting involve draw,Control standard,Country,0:06:38,2021-03-26,Yourself
Tiffany Zamora,Serious last herself,Free,Rock,0:08:20,2023-11-17,Argue alone
Shelby Garcia,Rock travel,About,Soul,0:02:40,2021-09-20,For
Connor Golden,Spring ago,List,R&B,0:05:13,2016-02-24,Might certain
Dennis Jones,Draw occur great,Buy,Classical,0:07:44,2019-04-18,Phone
Amy Greene,Sing meet like,End,Hip Hop,0:04:31,2018-06-20,Sometimes this
Daniel Carter,Recognize ok political,Door,Classical,0:02:44,2020-01-28,Various
Nathan Wilcox,Give college word,Walk general,Hip Hop,0:08:35,2015-04-25,Event
Brenda Smith,Pay,Protect,Rock,0:03:21,2016-07-04,Wait
Paul Cook,Near commercial,Rise scene,Classical,0:04:39,2018-08-31,State
Mr. Richard Reed,Answer,College for,Rock,0:03:44,2019-02-12,Fact
David Garcia,Money sister item writer,Along,R&B,0:06:15,2023-07-20,Out
William Tanner,Society pick throughout actually,Difficult,Soul,0:09:19,2020-10-25,Serve any
Samantha Allen,Wish anyone,Close,Rock,0:04:12,2017-09-04,Night what
Nicole Perez,Already beat help must,Smile tend,Soul,0:02:35,2019-02-09,Rise sit
Jennifer Fernandez,Not their number,Mind check,Pop,0:04:17,2014-05-06,Art
Thomas Evans,Degree city resource,Seek,Rock,0:07:35,2017-12-22,Anyone
Benjamin Fleming,Study,Possible stage,R&B,0:04:30,2015-04-22,Job
Dr. Raymond Nunez,Discuss parent but despite,Small,Pop,0:04:38,2019-12-29,Girl
Kevin Phillips,Yeah person recently,Start model,Rock,0:08:36,2021-03-17,Each
Abigail Robertson,Whether necessary,Both,Classical,0:04:52,2020-07-18,I
Bridget Hudson DVM,Rise life discussion,Identify board,Rock,0:06:18,2020-12-19,Fly throughout
Marcus Burns,Best toward,Rise,Country,0:07:35,2022-03-20,Up
April Torres,Store gun way approach,Something sea,Electronic,0:07:50,2021-11-12,Age
Jeffrey Brooks,Explain in region,Spring,R&B,0:09:36,2019-11-12,Yes
Bruce Gibson,Law exactly,Ask,Rock,0:05:19,2016-01-07,Coach
Mark Kaiser,Campaign,Star,Country,0:04:03,2023-01-06,Represent
Christina Powell,Finish difference million,Before,Hip Hop,0:07:49,2017-03-01,Economic
Christine Oneill,Life follow former,Director,Jazz,0:06:29,2020-12-28,Close
Paul Myers,This tonight,Chair,Soul,0:08:25,2021-12-24,Blue together
Eugene Green,With,Bring,Country,0:03:18,2018-02-15,Forward reality
Taylor Bullock,Top would,Popular,R&B,0:06:12,2024-02-10,Gun
Randy Castaneda,Improve question,Scene,R&B,0:07:00,2014-06-14,Similar best
John Lane,To trade,Price if,Pop,0:04:36,2017-08-29,Star say
Travis Anderson,Concern nature,Create,Pop,0:04:21,2023-09-07,Just
Dominique Nelson,Ground subject visit store,List not,Rock,0:09:56,2021-12-09,Long pick
Jennifer Wilson,However prepare none,He someone,Hip Hop,0:08:58,2014-07-28,Threat property
Lori Jones,Apply contain,Contain,Electronic,0:03:17,2015-07-10,Morning history
Sherry Riley,Serve parent,Usually before,Country,0:04:10,2020-02-16,Adult
Sherry Henderson,Carry really campaign,Respond,Classical,0:05:28,2018-04-30,Relationship
Christopher Ryan,Cost reach,Fly,Pop,0:08:28,2019-04-05,Message activity
Richard Diaz,Keep management,Idea general,Hip Hop,0:07:00,2019-06-23,Hear artist
Daniel Evans,Suggest ball seat,Watch,R&B,0:07:44,2023-11-26,Those
Theresa Howard,Indicate help night,Home,R&B,0:09:58,2014-12-25,Other foreign
Craig Phillips,Charge drug,Bar,Classical,0:02:11,2016-09-14,Chair follow
Christopher Conley,Board change,Successful but,Soul,0:03:19,2021-12-24,Find
Jared Elliott,Employee same party,Successful,Rock,0:03:44,2024-02-28,Free walk
Crystal Garcia,Republican,Heart few,Blues,0:03:56,2018-03-28,Can fund
Nathaniel Wood,Dinner various,Share,Country,0:06:10,2021-04-18,Strategy
Christopher Cooke,Law blood recent,Own,Blues,0:09:40,2022-05-01,Sit grow
Clayton Hall,Media owner,Movement could,Blues,0:09:43,2022-04-05,Prevent
Amber Simmons,Wonder firm book,Page,Soul,0:07:56,2017-05-05,Major
Jon Silva,Remember because,People,R&B,0:07:03,2024-01-14,Gun
Olivia Jimenez,Budget international,Trip,Soul,0:07:41,2017-12-27,Free
Abigail Black,Want learn,Shake during,Country,0:03:47,2022-03-23,Center tough
Suzanne Sutton,Section meeting herself degree,Ability everybody,Rock,0:08:40,2021-11-21,Suggest sport
Charles Boone,Any,Street own,R&B,0:03:40,2022-07-14,Student charge
Jeffrey Diaz,Heavy month,Score,Pop,0:04:42,2020-04-07,Strategy build
Andrew Johnson,Per popular thought,Example special,Jazz,0:02:52,2015-04-05,Doctor
Maria Caldwell,Again increase one,Else,Country,0:05:20,2014-09-08,Hear term
William White,Rise police nature,Their safe,Rock,0:02:44,2019-03-12,Single
Tom Parker,Answer,Compare street,Soul,0:02:53,2018-07-13,Instead build
Amy Evans MD,Or small radio clearly,However,Blues,0:09:27,2023-09-05,Develop
Glen Jackson,Nature wall garden,Participant while,R&B,0:08:14,2016-10-16,Happen attack
Carolyn Tran,Machine activity traditional development,Fall section,Country,0:08:43,2016-08-03,Production whether
Jerry Adams,Then rate him upon,Speech whose,Classical,0:09:49,2023-10-08,Very
Andrew Hopkins DDS,Including,Heavy,Blues,0:04:43,2014-12-26,Difference
Carlos Lopez,Same fine born civil,Drop,Jazz,0:03:58,2017-03-21,Actually yes
Peter Perry,Medical possible message structure,Significant artist,Classical,0:02:15,2016-04-19,Thing
Sarah Jacobs,Whether might program,Pass author,Country,0:04:31,2017-09-26,Until local
Rachel Barnes,Those few,Response,R&B,0:02:38,2016-08-31,Media
Dale Andersen,Operation hit,Let,Rock,0:04:16,2017-05-25,Federal hour
Rebecca Rosales,Religious,Ball,Soul,0:05:36,2018-11-02,Allow
Christopher Morales,Behind history,Agency television,Soul,0:02:09,2017-09-22,Member fire
David Martinez,Sport food three,Son social,R&B,0:09:28,2014-07-17,Success
James Allen,Tend garden red,Shake similar,Hip Hop,0:02:09,2022-11-22,Actually affect
Victor Pugh,Science,Student,Rock,0:08:14,2024-02-11,Figure
Joshua Taylor,Read change,Arrive open,Rock,0:08:32,2022-02-02,Southern cold
Charlene White,Word method,Recognize listen,Pop,0:08:48,2019-04-08,Positive
Erika West,Should true growth walk,Air,Blues,0:06:02,2018-11-19,Key edge
James Vazquez,With task including ability,Stuff,Jazz,0:07:11,2015-08-26,Account
David Williamson,Growth provide example near,Without anything,Classical,0:07:52,2017-01-24,Eye even
Ms. Katie Pratt,Discover company,Quite dog,R&B,0:07:08,2018-10-27,Run every
Jordan Johnson,Seem,Until,Soul,0:03:17,2018-12-16,Make start
Richard Bass,Bar every,Born,R&B,0:04:43,2022-03-13,Benefit
